               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084791,            0.054829,                   0,             0.04299,             0.25455,            0.050841,           0.0089547,            0.041394,            0.024794,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.058886,            0.033325,                   0,            0.033187,             0.83636,             0.11927,            0.034034,            0.036337,            0.015893,                   0,            0.077467,            0.002467,            0.002467
                   2,            0.053982,            0.027928,                   0,             0.34408,             0.14545,             0.25988,            0.085663,            0.030898,             0.01149,                   0,              0.0657,           0.0036997,           0.0036997
                   3,            0.039115,            0.022221,                   0,             0.49374,             0.49091,             0.45135,             0.14974,            0.026233,            0.010731,                   0,            0.053898,            0.004898,            0.004898
                   4,            0.045982,            0.018969,                   0,             0.45206,             0.50909,             0.50214,             0.18584,            0.023287,            0.010418,                   0,            0.042062,           0.0060621,           0.0060621
                   5,             0.04164,            0.015658,                   0,             0.35597,             0.63636,             0.40443,             0.14543,            0.027522,           0.0063766,                   0,            0.030192,           0.0071918,           0.0071918
                   6,            0.040069,            0.016479,                   0,             0.33542,              0.6699,             0.41022,             0.11988,            0.030547,           0.0074558,                   0,            0.018287,           0.0082872,           0.0082872
                   7,            0.036664,            0.015113,                   0,             0.63131,             0.67273,             0.70438,             0.22763,            0.026294,           0.0055608,                   0,            0.009076,            0.009076,            0.009076
                   8,            0.040397,            0.014585,                   0,             0.59957,             0.68066,             0.71005,             0.29566,            0.026915,           0.0045909,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.031836,            0.014503,                   0,             0.52812,             0.75295,             0.69603,             0.33854,             0.02183,           0.0051997,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.035384,            0.012508,                   0,             0.62245,             0.94545,             0.77998,             0.39453,            0.023645,           0.0050495,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.033863,            0.011845,                   0,             0.86398,             0.92727,              0.9119,             0.55757,            0.015078,           0.0043694,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.029882,             0.01263,                   0,             0.74039,             0.87273,             0.85416,             0.45501,            0.018642,           0.0043831,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.028806,            0.011601,                   0,             0.62705,             0.88654,             0.74569,             0.43221,            0.020878,           0.0048852,                   0,            0.008416,            0.008416,            0.008416
                  14,             0.02976,            0.011258,                   0,              0.8124,             0.86616,             0.90169,             0.56595,             0.01337,           0.0047553,                   0,            0.008284,            0.008284,            0.008284
                  15,             0.02502,            0.010967,                   0,             0.61877,             0.83636,             0.77466,             0.48012,             0.01636,           0.0047137,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.026415,            0.011484,                   0,             0.84676,             0.90428,             0.93842,             0.55082,            0.015766,           0.0046206,                   0,             0.00802,             0.00802,             0.00802
                  17,            0.023889,             0.01117,                   0,             0.84917,             0.92137,             0.93471,             0.52118,              0.0179,           0.0047803,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.032275,            0.011518,                   0,             0.89594,             0.93933,             0.95551,             0.68673,            0.012178,           0.0039976,                   0,            0.007756,            0.007756,            0.007756
                  19,            0.025712,            0.010697,                   0,             0.90512,             0.86729,             0.94527,             0.65538,            0.012558,           0.0044554,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.026149,            0.011486,                   0,             0.89674,             0.94745,             0.97294,              0.6411,             0.01397,           0.0038891,                   0,            0.007492,            0.007492,            0.007492
